,HomeTeam,AwayTeam,H2H_HW,H2H_AW,Drawn
249,Middlesbrough,Tottenham,0,2,0
250,Burnley,Watford,3,2,1
251,West Ham,Middlesbrough,1,0,1
252,Bournemouth,Hull,1,1,0
253,Middlesbrough,Watford,0,1,1
254,Arsenal,Middlesbrough,1,0,1
255,Middlesbrough,Bournemouth,1,1,0
256,Watford,Hull,1,1,0
257,Man City,Middlesbrough,0,0,2
258,Middlesbrough,Chelsea,0,2,0
259,Leicester,Middlesbrough,0,0,2
260,Middlesbrough,Hull,1,1,0
261,Burnley,Bournemouth,4,2,0
262,Southampton,Middlesbrough,2,0,0
263,Middlesbrough,Liverpool,0,2,0
264,Middlesbrough,Swansea,1,0,1
265,Burnley,Middlesbrough,1,0,1
266,Man United,Middlesbrough,2,0,0
267,Brighton,Man City,0,4,0
268,Crystal Palace,Huddersfield,3,1,0
269,Leicester,Brighton,3,0,1
270,Huddersfield,Newcastle,1,3,0
271,Huddersfield,Southampton,0,1,3
272,Watford,Brighton,1,1,2
273,Brighton,West Brom,1,1,0
274,West Ham,Huddersfield,3,0,1
275,Bournemouth,Brighton,3,0,1
276,Huddersfield,Leicester,0,3,1
277,Burnley,Huddersfield,1,0,3
278,Brighton,Newcastle,2,0,2
279,Huddersfield,Tottenham,0,4,0
280,Arsenal,Brighton,1,1,2
281,Swansea,Huddersfield,1,0,1
282,Brighton,Everton,1,2,1
283,West Ham,Brighton,0,3,1
284,Huddersfield,Man United,1,2,1
285,Liverpool,Huddersfield,4,0,0
286,Brighton,Southampton,0,1,3
287,Huddersfield,West Brom,2,0,0
288,Swansea,Brighton,0,2,0
289,Bournemouth,Huddersfield,3,1,0
290,Brighton,Stoke,0,0,2
291,Man United,Brighton,2,2,0
292,Huddersfield,Man City,0,3,1
293,Brighton,Crystal Palace,2,1,1
294,Arsenal,Huddersfield,4,0,0
295,Brighton,Liverpool,0,4,0
296,Everton,Huddersfield,3,0,1
297,Huddersfield,Brighton,1,2,1
298,Huddersfield,Chelsea,0,3,1
299,Tottenham,Brighton,3,0,1
300,Brighton,Burnley,0,2,2
301,Watford,Huddersfield,2,2,0
302,Chelsea,Brighton,4,0,0
303,Huddersfield,Stoke,0,1,1
304,Bournemouth,Cardiff,1,1,0
305,Fulham,Crystal Palace,0,2,0
306,Wolves,Everton,1,0,1
307,Cardiff,Newcastle,0,1,1
308,Leicester,Wolves,1,1,0
309,Tottenham,Fulham,2,0,0
310,Huddersfield,Cardiff,0,0,2
311,Wolves,Man City,0,1,1
312,Fulham,Burnley,1,1,0
313,Brighton,Fulham,0,1,1
314,West Ham,Wolves,0,2,0
315,Cardiff,Arsenal,0,2,0
316,Chelsea,Cardiff,2,0,0
317,Man City,Fulham,2,0,0
318,Wolves,Burnley,1,1,0
319,Cardiff,Man City,0,2,0
320,Fulham,Watford,0,1,1
321,Man United,Wolves,0,1,1
322,Everton,Fulham,1,1,0
323,Wolves,Southampton,1,1,0
324,Cardiff,Burnley,0,2,0
325,Crystal Palace,Wolves,1,1,0
326,Tottenham,Cardiff,2,0,0
327,Fulham,Arsenal,0,2,0
328,Cardiff,Fulham,1,1,0
329,Wolves,Watford,1,1,0
330,Brighton,Wolves,1,0,1
331,Fulham,Bournemouth,1,1,0
332,Liverpool,Cardiff,2,0,0
333,Cardiff,Leicester,1,1,0
334,Wolves,Tottenham,1,1,0
335,Huddersfield,Fulham,1,1,0
336,Cardiff,Brighton,2,0,0
337,Arsenal,Wolves,0,1,1
338,Liverpool,Fulham,2,0,0
339,Everton,Cardiff,2,0,0
340,Fulham,Southampton,1,1,0
341,Wolves,Huddersfield,0,2,0
342,Cardiff,Wolves,1,1,0
343,Chelsea,Fulham,2,0,0
344,West Ham,Cardiff,1,1,0
345,Fulham,Leicester,0,1,1
346,Wolves,Chelsea,1,0,1
347,Cardiff,Southampton,2,0,0
348,Man United,Fulham,2,0,0
349,Newcastle,Wolves,0,1,1
350,Fulham,West Ham,0,2,0
351,Watford,Cardiff,2,0,0
352,Wolves,Bournemouth,1,0,1
353,Wolves,Liverpool,0,2,0
354,Cardiff,Man United,1,1,0
355,Newcastle,Fulham,1,0,1
356,Crystal Palace,Cardiff,1,0,1
357,Fulham,Wolves,0,1,1
